,Unnamed: 0,name,total_funding,no_of_rounds,lead_investors,investors
0,0,pinata-59fc,$21.8M,3,4,7
1,1,dune-analytics,$79.4M,3,3,21
2,2,bitscrunch,$6.4M,3,3,36
3,3,covalent-92e3,$5.1M,4,4,24
4,4,guardian-link,$12M,1,1,1
5,5,chainalysis,$536.6M,10,12,29
6,6,numerai,$32.5M,7,4,18
7,7,deepnftvalue,$4M,1,1,3
8,8,upshot-d781,$30.5M,3,4,30
9,9,ml-tech,$3.7M,2,1,9
10,10,immunefi,$29.5M,2,3,14
0,0,nftport,$26M,1,2,10
1,1,connext-inc,$15.7M,5,3,22
2,2,moralis,$53.4M,2,1,4
3,3,filecoin,$258.2M,7,1,33
4,4,shardeum,â‚¹1.5B,2,6,28
5,5,livepeer,$51M,5,2,23
6,6,quiknode,$101.9M,7,4,15
7,7,coinbase,$498.7M,17,9,74
8,8,nftically,$1.5M,4,3,14
9,9,dappradar,$7.3M,4,4,5
10,10,singularitynet,$66M,6,1,6
11,11,fetch-ai,$26M,3,2,3
